scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Scutiger sikimmensis,0,54.25,水栖,急流,半水栖,0,5~6,0,0,54.65,16.85,3.8,2,0
Scutiger spinosus,0,54.275,水栖,静水和激流,半水栖,,6,,0,54.55,18.45,4.1,2,0
Scutiger tengchongensis,0,38.05,水栖,,半水栖,,,,0,38,12.7,3.5,1,0
Scutiger tuberculatus,0,71.75,水栖,急流,半水栖,0,5~7,1,0,71.75,24.1,5.55,2,0
Scutiger wanglangensis,0,59.75,水栖,静水和激流,半水栖,0,5~6,0,0,59.9,14.4,5.3,2,0
Scutiger wuguanfui,0,98.675,水栖,静水和激流,半水栖,,,,0,98.4,34.6,7.25,2,0
Bufo ailaoanus,0,46.75,水栖,急流,半水栖,0,8,0,0,46.5,14.3,4.45,,0
Bufo aspinius,0,82.25,水栖,急流,半水栖,0,10~11,0,0,84.7,28.65,6.7,1,0
Bufo bankorensis,1,75.25,水栖,静水和激流,陆栖,1,9~2,0,0,73.3,22.5,6,2,0
Bufo cryptotympanicus,0,68,水栖,静水,半水栖,0,3~4,0,0,68,21.8,6,,0
Bufo gargarizans,0,89.75,水栖,静水,陆栖,1,1~6,0,0,93.3,26.85,12.9,1,0
Bufo luchunnicus,0,63.25,水栖,静水和激流,半水栖,0,,0,0,63.25,,,,0
Bufo menglianus,0,89,水栖,,半水栖,,,,0,89,,,,0
Bufo pageoti,0,71,水栖,静水和激流,陆栖,,12~3,0,0,71.1,17.85,5.55,,0
Bufo stejnegeri,0,55.25,水栖,静水和激流,半水栖,0,4,0,0,54.8,17,5.75,2,0
Bufo tuberculatus,0,71,水栖,静水,半水栖,0,,0,0,70.6,20.25,5.8,2,0
Bufo tuberospinius,0,70.25,,急流,,,,,0,70.25,,,,0
Bufotes pewzowi,0,66.25,水栖,静水,陆栖,0,4~6,0,0,70.25,21.45,4.85,2,0
Bufotes zamdaensis,0,57,,,,,,,,,,,,
Duttaphrynus himalayanus,0,93.25,水栖,静水,半水栖,0,4~6,0,0,91.8,28.4,10,2,0
Duttaphrynus melanostictus,0,90,水栖,静水,陆栖,1,7~8,0,0,90.9,28.45,7.35,2,0
Duttaphrynus stuarti,0,75,水栖,静水,陆栖,,,,0,75,,,2,0
Ingerophrynus ledongensis,0,55.875,水栖,静水,陆栖,0,,0,0,55.85,19.05,6.25,1,0
Parapelophryne scalpta,0,23.25,水栖,静水和激流,半水栖,0,4~6,0,0,23.35,7.1,2.5,,0
Strauchbufo raddei,0,58.5,水栖,静水,陆栖,1,3~6,0,0,58.35,17.55,4.15,2,0
Hyla annectans,0,36,水栖,静水,半水栖,0,,0,0,36.4,10.85,3.95,2,0
